,,,1,,0.00,0.00,0.00,0.15,0.15,user.bjackson.200348.AlpgenPythia_Auto_P2011C_ZtautaubbNp0.tnt_103_v2/,153271590
,,,1,,0.00,0.00,0.00,0.17,0.17,user.bjackson.126951.PowhegPythia8_AU2CT10_ZZllnunu_tt_mll4.tnt_103/,174569619
,,,1,,0.00,0.00,0.00,0.18,0.18,user.bjackson.110813.AlpgenPythia_P2011C_ZtautauccNp0.tnt_103_v2/,184195670
,,,1,,0.00,0.00,0.00,0.18,0.18,user.bjackson.167840.Sherpa_CT10_ZtautauMassiveCBPt500_CFilterBVeto.tnt_103/,188177686
,,,1,,0.00,0.00,0.00,0.19,0.19,user.bjackson.167838.Sherpa_CT10_ZmumuMassiveCBPt500_CVetoBVeto.tnt_103/,200622269
,,,1,,0.00,0.00,0.00,0.21,0.21,user.bjackson.117654.AlpgenPythia_P2011C_ZeeNp4.tnt_103/,217437088
,,,1,,0.00,0.00,0.00,0.23,0.23,user.bjackson.146835.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZeeNp5Incl_Mll10to60.tnt_103/,236942619
,,,1,,0.00,0.00,0.00,0.24,0.24,user.bjackson.129494.PowhegPythia8_AU2CT10_WZ_W15Z15_mll3p804d0_2LeptonFilter5.tnt_103/,248154970
,,,1,,0.00,0.00,0.00,0.24,0.24,user.bjackson.167837.Sherpa_CT10_ZmumuMassiveCBPt500_CFilterBVeto.tnt_103/,246808120
,,,1,,0.00,0.00,0.00,0.25,0.25,user.bjackson.129485.PowhegPythia8_AU2CT10_WZ_Wm15Z15_mll3p804d0_2LeptonFilter5.tnt_103/,266114079
,,,1,,0.00,0.00,0.00,0.26,0.26,user.bjackson.117664.AlpgenPythia_P2011C_ZmumuNp4.tnt_103/,273753965
,,,1,,0.00,0.00,0.00,0.27,0.27,user.bjackson.146830.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZeeNp0Excl_Mll10to60.tnt_103/,285093907
,,,1,,0.00,0.00,0.00,0.27,0.27,user.bjackson.146833.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZeeNp3Excl_Mll10to60.tnt_103/,286562591
,,,1,,0.00,0.00,0.00,0.27,0.27,user.bjackson.167008.MadGraphPythia_AUET2BCTEQ6L1_ZZZStar_nunullll.tnt_103/,284192417
,,,1,,0.00,0.00,0.00,0.31,0.31,user.bjackson.180550.Sherpa_CT10_ZtautauMassiveCBPt40_70_CFilterBVeto.tnt_103/,321327976
,,,1,,0.00,0.00,0.00,0.32,0.32,user.bjackson.110808.AlpgenPythia_P2011C_ZeeccNp3.tnt_103_v2/,330605893
,,,1,,0.00,0.00,0.00,0.32,0.32,user.bjackson.167841.Sherpa_CT10_ZtautauMassiveCBPt500_CVetoBVeto.tnt_103/,333695032
,,,1,,0.00,0.00,0.00,0.36,0.36,user.bjackson.146845.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZmumuNp5Incl_Mll10to60.tnt_103/,376529265
,,,1,,0.00,0.00,0.00,0.37,0.37,user.bjackson.117671.AlpgenPythia_P2011C_ZtautauNp1.tnt_103/,383507383
,,,1,,0.00,0.00,0.00,0.37,0.37,user.bjackson.157817.Sherpa_CT10_VVtoenuqq.tnt_103/,386974714
,,,1,,0.00,0.00,0.00,0.39,0.39,user.bjackson.110812.AlpgenPythia_P2011C_ZmumuccNp3.tnt_103_v2/,410216696
,,,1,,0.00,0.00,0.00,0.40,0.40,user.bjackson.110819.AlpgenPythia_P2011C_ZeebbNp2.tnt_103_v2/,417214543
,,,1,,0.00,0.00,0.00,0.41,0.41,user.bjackson.169471.gg2wwJimmy_AUET2CT10_WpWmenuenu.tnt_103/,433210104
,,,1,,0.00,0.00,0.00,0.42,0.42,user.bjackson.146843.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZmumuNp3Excl_Mll10to60.tnt_103/,440797992
,,,1,,0.00,0.00,0.00,0.44,0.44,user.bjackson.167006.MadGraphPythia_AUET2BCTEQ6L1_WWWStar_lnulnulnu.tnt_103/,461038218
,,,1,,0.00,0.00,0.00,0.45,0.45,user.bjackson.167007.MadGraphPythia_AUET2BCTEQ6L1_ZWWStar_lllnulnu.tnt_103/,470964272
,,,1,,0.00,0.00,0.00,0.46,0.46,user.bjackson.169472.gg2wwJimmy_AUET2CT10_WpWmenumunu.tnt_103/,487249460
,,,1,,0.00,0.00,0.00,0.46,0.46,user.bjackson.169475.gg2wwJimmy_AUET2CT10_WpWmmunuenu.tnt_103/,485408664
,,,1,,0.00,0.00,0.00,0.48,0.48,user.bjackson.110823.AlpgenPythia_P2011C_ZmumubbNp2.tnt_103_v2/,507430206
,,,1,,0.00,0.00,0.00,0.48,0.48,user.bjackson.146840.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZmumuNp0Excl_Mll10to60.tnt_103/,507516722
,,,1,,0.00,0.00,0.00,0.50,0.50,user.bjackson.146831.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZeeNp1Excl_Mll10to60.tnt_103/,528152260
,,,1,,0.00,0.00,0.00,0.50,0.50,user.bjackson.157818.Sherpa_CT10_VVtomunuqq.tnt_103/,526140912
,,,1,,0.00,0.00,0.00,0.52,0.52,user.bjackson.167816.Sherpa_CT10_ZtautauMassiveCBPt140_280_CFilterBVeto.tnt_103/,542935888
,,,1,,0.00,0.00,0.00,0.52,0.52,user.bjackson.169474.gg2wwJimmy_AUET2CT10_WpWmmunumunu.tnt_103/,546624052
,,,1,,0.00,0.00,0.00,0.52,0.52,user.bjackson.180551.Sherpa_CT10_ZtautauMassiveCBPt40_70_CVetoBVeto.tnt_103/,543045817
,,,1,,0.00,0.00,0.00,0.56,0.56,user.bjackson.129492.PowhegPythia8_AU2CT10_WZ_W15Z11_mll0p250d0_2LeptonFilter5.tnt_103/,584074139
,,,1,,0.00,0.00,0.00,0.56,0.56,user.bjackson.167817.Sherpa_CT10_ZtautauMassiveCBPt140_280_CVetoBVeto.tnt_103/,584729066
,,,1,,0.00,0.00,0.00,0.57,0.57,user.bjackson.126936.PowhegPythia8_AU2CT10_WpWm_tt.tnt_103/,596274883
,,,1,,0.00,0.00,0.00,0.59,0.59,user.bjackson.146832.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZeeNp2Excl_Mll10to60.tnt_103/,614277657
,,,1,,0.00,0.00,0.00,0.62,0.62,user.bjackson.129483.PowhegPythia8_AU2CT10_WZ_Wm15Z11_mll0p250d0_2LeptonFilter5.tnt_103/,654226179
,,,1,,0.00,0.00,0.00,0.65,0.65,user.bjackson.117653.AlpgenPythia_P2011C_ZeeNp3.tnt_103/,683068704
,,,1,,0.00,0.00,0.00,0.68,0.68,user.bjackson.110818.AlpgenPythia_P2011C_ZeebbNp1.tnt_103_v2/,710019995
,,,1,,0.00,0.00,0.00,0.74,0.74,user.bjackson.167804.Sherpa_CT10_ZtautauMassiveCBPt70_140_CFilterBVeto.tnt_103/,775814873
,,,1,,0.00,0.00,0.00,0.79,0.79,user.bjackson.146841.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZmumuNp1Excl_Mll10to60.tnt_103/,829387950
,,,1,,0.00,0.00,0.00,0.79,0.79,user.bjackson.167829.Sherpa_CT10_ZtautauMassiveCBPt280_500_CVetoBVeto.tnt_103/,825396638
,,,1,,0.00,0.00,0.00,0.82,0.82,user.bjackson.110807.AlpgenPythia_P2011C_ZeeccNp2.tnt_103_v2/,860089870
,,,1,,0.00,0.00,0.00,0.82,0.82,user.bjackson.117663.AlpgenPythia_P2011C_ZmumuNp3.tnt_103/,865015935
,,,1,,0.00,0.00,0.00,0.84,0.84,user.bjackson.110822.AlpgenPythia_P2011C_ZmumubbNp1.tnt_103_v2/,876137221
,,,1,,0.00,0.00,0.00,0.84,0.84,user.bjackson.147195.Sherpa_CT10_llnnjj_ZZjj_EW6.tnt_103/,879563134
,,,1,,0.00,0.00,0.00,0.86,0.86,user.bjackson.116600.gg2ZZJimmy_AUET2CT10_ZZ4lep.tnt_103/,903331112
,,,1,,0.00,0.00,0.00,0.92,0.92,user.bjackson.129493.PowhegPythia8_AU2CT10_WZ_W15Z13_mll0p4614d0_2LeptonFilter5.tnt_103/,965499464
,,,1,,0.00,0.00,0.00,0.93,0.93,user.bjackson.146842.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZmumuNp2Excl_Mll10to60.tnt_103/,974198403
,,,1,,0.00,0.00,0.00,1.00,1.00,user.bjackson.129484.PowhegPythia8_AU2CT10_WZ_Wm15Z13_mll0p4614d0_2LeptonFilter5.tnt_103/,1047039582
,,,1,,0.00,0.00,0.00,1.06,1.06,user.bjackson.110811.AlpgenPythia_P2011C_ZmumuccNp2.tnt_103_v2/,1113869742
,,,1,,0.00,0.00,0.00,1.07,1.07,user.bjackson.167805.Sherpa_CT10_ZtautauMassiveCBPt70_140_CVetoBVeto.tnt_103/,1124155664
,,,1,,0.00,0.00,0.00,1.10,1.10,user.bjackson.129488.PowhegPythia8_AU2CT10_WZ_W11Z15_mll3p804d0_2LeptonFilter5.tnt_103/,1155835030
,,,1,,0.00,0.00,0.00,1.16,1.16,user.bjackson.129479.PowhegPythia8_AU2CT10_WZ_Wm11Z15_mll3p804d0_2LeptonFilter5.tnt_103/,1215893381
,,,1,,0.00,0.00,0.00,1.18,1.18,user.bjackson.167828.Sherpa_CT10_ZtautauMassiveCBPt280_500_CFilterBVeto.tnt_103/,1232800645
,,,1,,0.00,0.00,0.00,1.19,1.19,user.bjackson.110817.AlpgenPythia_P2011C_ZeebbNp0.tnt_103_v2/,1252166951
,,,1,,0.00,0.00,0.00,1.20,1.20,user.bjackson.147194.Sherpa_CT10_lllnjj_WZjj_EW6.tnt_103/,1253178890
,,,1,,0.00,0.00,0.00,1.21,1.21,user.bjackson.157814.Sherpa_CT10_VVtoeeqq.tnt_103/,1267483609
,,,1,,0.00,0.00,0.00,1.23,1.23,user.bjackson.129491.PowhegPythia8_AU2CT10_WZ_W13Z15_mll3p804d0_2LeptonFilter5.tnt_103/,1290086063
,,,1,,0.00,0.00,0.00,1.29,1.29,user.bjackson.167756.Sherpa_CT10_ZtautauMassiveCBPt0_CFilterBVeto.tnt_103/,1357561757
,,,1,,0.00,0.00,0.00,1.30,1.30,user.bjackson.129482.PowhegPythia8_AU2CT10_WZ_Wm13Z15_mll3p804d0_2LeptonFilter5.tnt_103/,1365389463
